code,to,from,range,domain
Perm,JobFulltime,PermanentMove,3,1:1;0:0;-1:-1
Miss1,FinanceStable,MissPay1,2,2:4;None
Many,FinanceStable,MissPayMany,2,2:4;None
Cont,FinanceStable,ContWorkSch,2,None;4:2
Full,FinanceStable,JobFulltime,2,None;4:2
Unsafe,PersonalSafety,Leave,3,None;2:3;1:3
TravCost,FinanceStable,Leave,3,None;-1:-1;0:3
SafeWork,RiskMe,ContWorkSch,2,1:1;0:0
Rationality,,,5,10;5;2;15;17
Temp,JobFulltime,TemporaryWork,2,None;-1:-1
NoCure,RiskMe,TakeAntiBiotic;ChangeRoutine;OutdoorPrecaution,3,-1:-1;0:0;-3:-3
Friend,FriendSurvival,RiskCity,1,None;1:5
Exposure,RiskMe,Leave,2,None;1:1
CostMany,MissPayMany,Leave,2,None;-1:-1
Cost1,MissPay1,Leave,2,None;-1:-1
MoveFutile,RiskMe,PermanentMove,2,None;0:0
# anxiety shortens horizon?
# their job could disappear because of the anthrax (do we have employment zip code)
