Timestep	Name	Category	Location	Landed
4	1	1	Region13	no
5	1	1	Region13	no
6	1	2	Region13	no
7	1	2	Region13	yes
8	1	2	Region14	yes
9	1	2	Region15	yes
10	1	2	Region16	yes
11	1	2	leaving	yes
15	2	2	Region05	no
16	2	2	Region05	no
17	2	1	Region05	no
18	2	1	Region05	no
19	2	1	Region05	yes
20	2	1	Region06	yes
21	2	1	Region06	yes
22	2	1	Region02	yes
23	2	1	leaving	yes
28	3	5	Region05	no
29	3	4	Region05	no
30	3	5	Region05	no
31	3	5	Region05	yes
32	3	5	Region06	yes
33	3	5	Region02	yes
34	3	5	Region03	yes
35	3	5	Region03	yes
36	3	5	Region04	yes
37	3	5	leaving	yes
41	4	5	Region05	no
42	4	4	Region05	no
43	4	3	Region05	no
44	4	3	Region05	yes
45	4	3	Region06	yes
46	4	3	Region07	yes
47	4	3	Region07	yes
48	4	3	Region08	yes
49	4	3	leaving	yes
53	5	2	Region09	no
54	5	2	Region09	no
55	5	3	Region09	no
56	5	3	Region09	no
57	5	3	Region09	no
58	5	3	Region09	yes
59	5	3	Region10	yes
60	5	3	Region11	yes
61	5	3	Region07	yes
62	5	3	Region08	yes
63	5	3	Region08	yes
64	5	3	Region04	yes
65	5	3	Region04	yes
66	5	3	Region04	yes
67	5	3	leaving	yes
72	6	2	Region05	no
73	6	2	Region05	no
74	6	3	Region05	no
75	6	4	Region05	no
76	6	4	Region05	yes
77	6	4	Region06	yes
78	6	4	Region02	yes
79	6	4	leaving	yes
83	7	1	Region05	no
