Name	Timestep	Value
Nature action	1	Nature-evolve
Nature category	1	0
Nature days	1	0
Nature location	1	none
Nature phase	1	none
Nature action	2	Nature-evolve
Nature category	2	0
Nature days	2	1
Nature location	2	none
Nature phase	2	none
Nature action	3	Nature-evolve
Nature category	3	0
Nature days	3	2
Nature location	3	none
Nature phase	3	none
Nature action	4	Nature-evolve
Nature category	4	1
Nature days	4	0
Nature location	4	Region13
Nature phase	4	approaching
Nature action	5	Nature-evolve
Nature category	5	1
Nature days	5	1
Nature location	5	Region13
Nature phase	5	approaching
Nature action	6	Nature-evolve
Nature category	6	2
Nature days	6	2
Nature location	6	Region13
Nature phase	6	approaching
Nature action	7	Nature-evolve
Nature category	7	2
Nature days	7	0
Nature location	7	Region13
Nature phase	7	active
Nature action	8	Nature-evolve
Nature category	8	2
Nature days	8	1
Nature location	8	Region14
Nature phase	8	active
Nature action	9	Nature-evolve
Nature category	9	2
Nature days	9	2
Nature location	9	Region15
Nature phase	9	active
Nature action	10	Nature-evolve
Nature category	10	2
Nature days	10	3
Nature location	10	Region16
Nature phase	10	active
Nature action	11	Nature-evolve
Nature category	11	2
Nature days	11	4
Nature location	11	none
Nature phase	11	active
Nature action	12	Nature-evolve
Nature category	12	0
Nature days	12	0
Nature location	12	none
Nature phase	12	none
Nature action	13	Nature-evolve
Nature category	13	0
Nature days	13	1
Nature location	13	none
Nature phase	13	none
Nature action	14	Nature-evolve
Nature category	14	0
Nature days	14	2
Nature location	14	none
Nature phase	14	none
Nature action	15	Nature-evolve
Nature category	15	2
Nature days	15	0
Nature location	15	Region05
Nature phase	15	approaching
Nature action	16	Nature-evolve
Nature category	16	2
Nature days	16	1
Nature location	16	Region05
Nature phase	16	approaching
Nature action	17	Nature-evolve
Nature category	17	1
Nature days	17	2
Nature location	17	Region05
Nature phase	17	approaching
Nature action	18	Nature-evolve
Nature category	18	1
Nature days	18	3
Nature location	18	Region05
Nature phase	18	approaching
Nature action	19	Nature-evolve
Nature category	19	1
Nature days	19	0
Nature location	19	Region05
Nature phase	19	active
Nature action	20	Nature-evolve
Nature category	20	1
Nature days	20	1
Nature location	20	Region06
Nature phase	20	active
Nature action	21	Nature-evolve
Nature category	21	1
Nature days	21	2
Nature location	21	Region06
Nature phase	21	active
Nature action	22	Nature-evolve
Nature category	22	1
Nature days	22	3
Nature location	22	Region02
Nature phase	22	active
Nature action	23	Nature-evolve
Nature category	23	1
Nature days	23	4
Nature location	23	none
Nature phase	23	active
Nature action	24	Nature-evolve
Nature category	24	0
Nature days	24	0
Nature location	24	none
Nature phase	24	none
Nature action	25	Nature-evolve
Nature category	25	0
Nature days	25	1
Nature location	25	none
Nature phase	25	none
Nature action	26	Nature-evolve
Nature category	26	0
Nature days	26	2
Nature location	26	none
Nature phase	26	none
Nature action	27	Nature-evolve
Nature category	27	0
Nature days	27	3
Nature location	27	none
Nature phase	27	none
Nature action	28	Nature-evolve
Nature category	28	5
Nature days	28	0
Nature location	28	Region05
Nature phase	28	approaching
Nature action	29	Nature-evolve
Nature category	29	4
Nature days	29	1
Nature location	29	Region05
Nature phase	29	approaching
Nature action	30	Nature-evolve
Nature category	30	5
Nature days	30	2
Nature location	30	Region05
Nature phase	30	approaching
Nature action	31	Nature-evolve
Nature category	31	5
Nature days	31	0
Nature location	31	Region05
Nature phase	31	active
Nature action	32	Nature-evolve
Nature category	32	5
Nature days	32	1
Nature location	32	Region06
Nature phase	32	active
Nature action	33	Nature-evolve
Nature category	33	5
Nature days	33	2
Nature location	33	Region02
Nature phase	33	active
Nature action	34	Nature-evolve
Nature category	34	5
Nature days	34	3
Nature location	34	Region03
Nature phase	34	active
Nature action	35	Nature-evolve
Nature category	35	5
Nature days	35	4
Nature location	35	Region03
Nature phase	35	active
Nature action	36	Nature-evolve
Nature category	36	5
Nature days	36	5
Nature location	36	Region04
Nature phase	36	active
Nature action	37	Nature-evolve
Nature category	37	5
Nature days	37	6
Nature location	37	none
Nature phase	37	active
Nature action	38	Nature-evolve
Nature category	38	0
Nature days	38	0
Nature location	38	none
Nature phase	38	none
Nature action	39	Nature-evolve
Nature category	39	0
Nature days	39	1
Nature location	39	none
Nature phase	39	none
Nature action	40	Nature-evolve
Nature category	40	0
Nature days	40	2
Nature location	40	none
Nature phase	40	none
Nature action	41	Nature-evolve
Nature category	41	5
Nature days	41	0
Nature location	41	Region05
Nature phase	41	approaching
Nature action	42	Nature-evolve
