Timestep	EntityIdx	QualData	Metadata
20	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
21	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
22	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
23	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
24	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
25	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
26	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
27	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
28	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
29	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
30	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
33	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
34	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
35	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
36	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
37	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
38	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
39	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
40	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
41	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
42	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
43	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
45	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
59	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
60	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
77	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
100	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
117	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
118	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
119	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
120	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
121	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
122	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
123	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
124	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
125	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
126	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
127	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
132	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
133	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
134	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
135	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
136	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
137	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
138	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
139	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
141	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
142	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
143	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
