Timestep	RelationshipType	Directed	FromEntityId	ToEntityId	Data	Notes
	friendOf	yes	Actor0045	Actor0086	True	
	friendOf	yes	Actor0086	Actor0045	True	
	friendOf	yes	Actor0140	Actor0024	True	
	friendOf	yes	Actor0024	Actor0140	True	
	friendOf	yes	Actor0140	Actor0160	True	
	friendOf	yes	Actor0160	Actor0140	True	
	friendOf	yes	Actor0048	Actor0011	True	
	friendOf	yes	Actor0011	Actor0048	True	
	friendOf	yes	Actor0048	Actor0041	True	
	friendOf	yes	Actor0041	Actor0048	True	
	friendOf	yes	Actor0044	Actor0152	True	
	friendOf	yes	Actor0152	Actor0044	True	
	friendOf	yes	Actor0124	Actor0024	True	
	friendOf	yes	Actor0024	Actor0124	True	
	friendOf	yes	Actor0124	Actor0099	True	
	friendOf	yes	Actor0099	Actor0124	True	
	friendOf	yes	Actor0101	Actor0015	True	
	friendOf	yes	Actor0015	Actor0101	True	
	friendOf	yes	Actor0101	Actor0146	True	
	friendOf	yes	Actor0146	Actor0101	True	
	friendOf	yes	Actor0158	Actor0128	True	
	friendOf	yes	Actor0128	Actor0158	True	
	friendOf	yes	Actor0158	Actor0160	True	
	friendOf	yes	Actor0160	Actor0158	True	
	friendOf	yes	Actor0061	Actor0112	True	
	friendOf	yes	Actor0112	Actor0061	True	
	friendOf	yes	Actor0068	Actor0043	True	
	friendOf	yes	Actor0043	Actor0068	True	
	friendOf	yes	Actor0114	Actor0136	True	
	friendOf	yes	Actor0136	Actor0114	True	
	friendOf	yes	Actor0114	Actor0134	True	
	friendOf	yes	Actor0134	Actor0114	True	
	friendOf	yes	Actor0040	Actor0057	True	
	friendOf	yes	Actor0057	Actor0040	True	
	friendOf	yes	Actor0151	Actor0143	True	
	friendOf	yes	Actor0143	Actor0151	True	
	friendOf	yes	Actor0143	Actor0040	True	
	friendOf	yes	Actor0040	Actor0143	True	
	friendOf	yes	Actor0094	Actor0054	True	
	friendOf	yes	Actor0054	Actor0094	True	
	friendOf	yes	Actor0094	Actor0098	True	
	friendOf	yes	Actor0098	Actor0094	True	
	friendOf	yes	Actor0030	Actor0084	True	
	friendOf	yes	Actor0084	Actor0030	True	
	friendOf	yes	Actor0118	Actor0135	True	
	friendOf	yes	Actor0135	Actor0118	True	
	friendOf	yes	Actor0018	Actor0111	True	
	friendOf	yes	Actor0111	Actor0018	True	
	friendOf	yes	Actor0018	Actor0097	True	
	friendOf	yes	Actor0097	Actor0018	True	
	friendOf	yes	Actor0060	Actor0056	True	
	friendOf	yes	Actor0056	Actor0060	True	
	friendOf	yes	Actor0060	Actor0078	True	
	friendOf	yes	Actor0078	Actor0060	True	
	friendOf	yes	Actor0072	Actor0081	True	
	friendOf	yes	Actor0081	Actor0072	True	
	friendOf	yes	Actor0086	Actor0025	True	
	friendOf	yes	Actor0025	Actor0086	True	
	friendOf	yes	Actor0022	Actor0064	True	
	friendOf	yes	Actor0064	Actor0022	True	
	friendOf	yes	Actor0057	Actor0121	True	
	friendOf	yes	Actor0121	Actor0057	True	
	friendOf	yes	Actor0134	Actor0020	True	
	friendOf	yes	Actor0020	Actor0134	True	
	friendOf	yes	Actor0074	Actor0042	True	
	friendOf	yes	Actor0042	Actor0074	True	
	friendOf	yes	Actor0132	Actor0032	True	
	friendOf	yes	Actor0032	Actor0132	True	
	friendOf	yes	Actor0132	Actor0085	True	
	friendOf	yes	Actor0085	Actor0132	True	
	friendOf	yes	Actor0116	Actor0130	True	
	friendOf	yes	Actor0130	Actor0116	True	
