Participant ID	Age	Children	Ethnicity	Fulltime Job	Gender	Pets	Religion	Residence	Wealth	Hurricane 1: Evacuation Transport	Hurricane 1: Shelter Transport	Hurricane 1: Shelter Pets	Hurricane 1: Evacuate Pets	Hurricane 1: Shelter Available	Hurricane 1: Evacuation Unaffordable	Hurricane 1: Safer at home	Hurricane 1: Shelters crowded	Hurricane 2: Evacuation Transport	Hurricane 2: Shelter Transport	Hurricane 2: Shelter Pets	Hurricane 2: Evacuate Pets	Hurricane 2: Shelter Available	Hurricane 2: Evacuation Unaffordable	Hurricane 2: Safer at home	Hurricane 2: Shelters crowded	Hurricane 3: Evacuation Transport	Hurricane 3: Shelter Transport	Hurricane 3: Shelter Pets	Hurricane 3: Evacuate Pets	Hurricane 3: Shelter Available	Hurricane 3: Evacuation Unaffordable	Hurricane 3: Safer at home	Hurricane 3: Shelters crowded	Hurricane 4: Evacuation Transport	Hurricane 4: Shelter Transport	Hurricane 4: Shelter Pets	Hurricane 4: Evacuate Pets	Hurricane 4: Shelter Available	Hurricane 4: Evacuation Unaffordable	Hurricane 4: Safer at home	Hurricane 4: Shelters crowded	Hurricane 5: Evacuation Transport	Hurricane 5: Shelter Transport	Hurricane 5: Shelter Pets	Hurricane 5: Evacuate Pets	Hurricane 5: Shelter Available	Hurricane 5: Evacuation Unaffordable	Hurricane 5: Safer at home	Hurricane 5: Shelters crowded	Hurricane 6: Evacuation Transport	Hurricane 6: Shelter Transport	Hurricane 6: Shelter Pets	Hurricane 6: Evacuate Pets	Hurricane 6: Shelter Available	Hurricane 6: Evacuation Unaffordable	Hurricane 6: Safer at home	Hurricane 6: Shelters crowded
1	60	1.0	minority	no	male	yes	minority	Region13	5	5	5	1	5	5	2	1	1	5	5	1	5	5	4	1	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1
2	26	2.0	majority	no	female	yes	majority	Region08	3	5	5	1	5	5	1	2	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1
3	60	1.0	minority	no	male	no	minority	Region16	5	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1
4	34	0.0	minority	no	male	yes	minority	Region14	4	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1
5	57	2.0	majority	yes	male	yes	majority	Region11	4	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1
6	31	0.0	majority	no	male	no	minority	Region10	5	5	5	1	5	5	2	1	1	5	5	1	5	5	3	1	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1	5	5	1	5	5	1	1	1
7	27	0.0	minority	yes	female	no	minority	Region07	2	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1
8	69	0.0	majority	yes	female	no	minority	Region04	5	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1
9	18	1.0	majority	yes	female	no	majority	Region02	2	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1
10	34	1.0	majority	yes	male	no	minority	Region10	5	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1
11	37	2.0	majority	yes	female	yes	majority	Region03	5	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1
12	33	0.0	minority	no	female	no	majority	Region01	5	5	5	1	5	5	2	2	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	3	1	1	5	5	1	5	5	3	1	1	5	5	1	5	5	1	1	1
13	63	0.0	majority	yes	female	yes	majority	Region10	3	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1	5	5	1	5	5	2	1	1
