Name	LongName	Values	VarType	DataType	Notes
Actor's home	Actor's region of residence	Region01,Region02,Region03,Region04,Region05,Region06,Region07,Region08,Region09,Region10,Region11,Region12,Region13,Region14,Region15,Region16	fixed	String	
Actor's horizon	Actor's short/farsightedness	[1,Inf)	fixed	Integer	
Actor's priority of childrenHealth	Actor's priority of childrenHealth	[0,1]	fixed	Real	
Actor's priority of health	Actor's priority of health	[0,1]	fixed	Real	
Actor's priority of neighbors	Actor's priority of neighbors	[0,1]	fixed	Real	
Actor's priority of pet	Actor's priority of pet	[0,1]	fixed	Real	
Actor's priority of resources	Actor's priority of resources	[0,1]	fixed	Real	
Region's shelterPets	Region's shelter allows pets	yes,no	fixed	Boolean	
Actor-moveTo-shelter	Actor-moveTo-shelter	yes,no	dynamic	Boolean	
Actor-takeResources-Region	Actor-takeResources-Region	yes,no	dynamic	Boolean	
Actor-stayInLocation	Actor-stayInLocation	yes,no	dynamic	Boolean	
Actor-moveTo-Region	Actor-moveTo-Region	yes,no	dynamic	Boolean	
Actor-evacuate	Actor-evacuate	yes,no	dynamic	Boolean	
Actor-decreaseRisk-Region	Actor-decreaseRisk-Region	yes,no	dynamic	Boolean	
System-allocate-Region	System-allocate-Region	Region01,Region02,Region03,Region04,Region05,Region06,Region07,Region08,Region09,Region10,Region11,Region12,Region13,Region14,Region15,Region16	dynamic	String	
Actor's Expected Reward	Actor's Expected Reward over Actions	(-Inf,Inf)	dynamic	Real	Table of Real values for each action
Actor's childrenHealth	Actor's childrenHealth	[0,1]	dynamic	Real	
Actor's employed	Actor's employed	yes,no	dynamic	Boolean	
Actor's grievance	Actor's grievance	[0,1]	dynamic	Real	
Actor's health	Actor's health	[0,1]	dynamic	Real	
Actor's location	Actor's location	home,evacuated,shelter	dynamic	String	
Actor's perceivedCategory	Actor's perceivedCategory	0,1,2,3,4,5	dynamic	Integer	
Actor's pet	Actor's pet	yes,no	dynamic	Boolean	
Actor's resources	Actor's resources	[0,1]	dynamic	Real	
Actor's risk	Actor's risk	[0,1]	dynamic	Real	
ActorBeliefOfActor's risk	Actor's Subjective Perception of Actor's risk	[0,1]	dynamic	Real	Probability distribution over possible values
Nature's category	Nature's category	0,1,2,3,4,5	dynamic	Integer	
ActorBeliefOfNature's category	Actor's Subjective Perception of Nature's category	0,1,2,3,4,5	dynamic	Real	Probability distribution over possible values
Nature's days	Nature's days	0,1,2,3,4,5	dynamic	Integer	
Nature's location	Nature's location	Region01,Region02,Region03,Region04,Region05,Region06,Region07,Region08,Region09,Region10,Region11,Region12,Region13,Region14,Region15,Region16,none	dynamic	String	
Nature's phase	Nature's phase	none,approaching,active	dynamic	String	
Region's risk	Region's risk	[0,1]	dynamic	Real	
ActorBeliefOfRegion's risk	Actor's Subjective Perception of Region's risk	[0,1]	dynamic	Real	Probability distribution over possible values
Region's shelterRisk	Region's shelterRisk	[0,1]	dynamic	Real	
ActorBeliefOfRegion's shelterRisk	Actor's Subjective Perception of Region's shelterRisk	[0,1]	dynamic	Real	Probability distribution over possible values
