Name	LongName	Values	VarType	DataType	Notes
Initial Friends Region01	Number of Initial Friends from Region01	0+	static	Integer	Q1
Initial Friends Region02	Number of Initial Friends from Region02	0+	static	Integer	Q2
Initial Friends Region03	Number of Initial Friends from Region03	0+	static	Integer	Q3
Initial Friends Region04	Number of Initial Friends from Region04	0+	static	Integer	Q4
Initial Friends Region05	Number of Initial Friends from Region05	0+	static	Integer	Q5
Initial Friends Region06	Number of Initial Friends from Region06	0+	static	Integer	Q6
Initial Friends Region07	Number of Initial Friends from Region07	0+	static	Integer	Q7
Initial Friends Region08	Number of Initial Friends from Region08	0+	static	Integer	Q8
Initial Friends Region09	Number of Initial Friends from Region09	0+	static	Integer	Q9
Initial Friends Region10	Number of Initial Friends from Region10	0+	static	Integer	Q10
Initial Friends Region11	Number of Initial Friends from Region11	0+	static	Integer	Q11
Initial Friends Region12	Number of Initial Friends from Region12	0+	static	Integer	Q12
Initial Friends Region13	Number of Initial Friends from Region13	0+	static	Integer	Q13
Initial Friends Region14	Number of Initial Friends from Region14	0+	static	Integer	Q14
Initial Friends Region15	Number of Initial Friends from Region15	0+	static	Integer	Q15
Initial Friends Region16	Number of Initial Friends from Region16	0+	static	Integer	Q16
Current Friends Region01	Number of Current Friends from Region01	0+	dynamic	Integer	Q17
Current Friends Region02	Number of Current Friends from Region02	0+	dynamic	Integer	Q18
Current Friends Region03	Number of Current Friends from Region03	0+	dynamic	Integer	Q19
Current Friends Region04	Number of Current Friends from Region04	0+	dynamic	Integer	Q20
Current Friends Region05	Number of Current Friends from Region05	0+	dynamic	Integer	Q21
Current Friends Region06	Number of Current Friends from Region06	0+	dynamic	Integer	Q22
Current Friends Region07	Number of Current Friends from Region07	0+	dynamic	Integer	Q23
Current Friends Region08	Number of Current Friends from Region08	0+	dynamic	Integer	Q24
Current Friends Region09	Number of Current Friends from Region09	0+	dynamic	Integer	Q25
Current Friends Region10	Number of Current Friends from Region10	0+	dynamic	Integer	Q26
Current Friends Region11	Number of Current Friends from Region11	0+	dynamic	Integer	Q27
Current Friends Region12	Number of Current Friends from Region12	0+	dynamic	Integer	Q28
Current Friends Region13	Number of Current Friends from Region13	0+	dynamic	Integer	Q29
Current Friends Region14	Number of Current Friends from Region14	0+	dynamic	Integer	Q30
Current Friends Region15	Number of Current Friends from Region15	0+	dynamic	Integer	Q31
Current Friends Region16	Number of Current Friends from Region16	0+	dynamic	Integer	Q32
# Friends Sheltered	# Friends Sheltered	0+	dynamic	Integer	Q33
# Friends Loss	# Friends Who Suffered Loss	0+	dynamic	Integer	Q34
# Friends Unknown	# Friend Pairs Unknown to Other	0+	dynamic	Integer	Q35
Assisted Injured Friend 	Assisted Injured Friend 	0+	dynamic	Integer	Q36
# Times Friends Sheltered	# Times Friends Sheltered	0+	dynamic	Integer	037
# Times Sheltered	# Times Sheltered	0+	dynamic	Integer	Q38
# Different Friends Sheltered	# Different Friends Sheltered	0+	dynamic	Integer	Q39
# Times Friends Evacuated	# Times Friends Evacuated	0+	dynamic	Integer	Q40
# Different Friends Evacuated	# Different Friends Evacuated	0+	dynamic	Integer	Q41
# Times Evacuated	# Times Evacuated	0+	dynamic	Integer	Q42
# Ethnic Majority Friends   # Ethnic Majority Friends 	0+	dynamic	Integer		Q43
# Male Friends 	# Male Friends 	0+	dynamic Integer	Q44
# Older Friends 	# Older Friends 	0+	dynamic	Integer	Q45
# Religious Majority Friends 	# Religious Majority Friends 	0+	dynamic	Integer	Q46
