INFO:root:Instance 9
INFO:root:Participant 1: Actor0116
INFO:root:Participant 2: Actor0091
INFO:root:Participant 3: Actor0060
INFO:root:Participant 4: Actor0082
INFO:root:Participant 5: Actor0090
INFO:root:Participant 6: Actor0073
INFO:root:Participant 7: Actor0020
INFO:root:Participant 8: Actor0069
INFO:root:Participant 9: Actor0009
INFO:root:Participant 10: Actor0130
INFO:root:Participant 11: Actor0119
INFO:root:Participant 12: Actor0071
INFO:root:Participant 13: Actor0024
INFO:root:Participant 14: Actor0055
INFO:root:Participant 15: Actor0095
INFO:root:Participant 16: Actor0008
INFO:root:Instance 9
INFO:root:Participant 1: Actor0116
INFO:root:Participant 2: Actor0091
INFO:root:Participant 3: Actor0060
INFO:root:Participant 4: Actor0082
INFO:root:Participant 5: Actor0090
INFO:root:Participant 6: Actor0073
INFO:root:Participant 7: Actor0020
INFO:root:Participant 8: Actor0069
INFO:root:Participant 9: Actor0009
INFO:root:Participant 10: Actor0130
INFO:root:Participant 11: Actor0119
INFO:root:Participant 12: Actor0071
INFO:root:Participant 13: Actor0024
INFO:root:Participant 14: Actor0055
INFO:root:Participant 15: Actor0095
INFO:root:Participant 16: Actor0008
INFO:root:Instance 9
INFO:root:Participant 1: Actor0116
INFO:root:Participant 2: Actor0091
INFO:root:Participant 3: Actor0060
INFO:root:Participant 4: Actor0082
INFO:root:Participant 5: Actor0090
INFO:root:Participant 6: Actor0073
INFO:root:Participant 7: Actor0020
INFO:root:Participant 8: Actor0069
INFO:root:Participant 9: Actor0009
INFO:root:Participant 10: Actor0130
INFO:root:Participant 11: Actor0119
INFO:root:Participant 12: Actor0071
INFO:root:Participant 13: Actor0024
INFO:root:Participant 14: Actor0055
INFO:root:Participant 15: Actor0095
INFO:root:Participant 16: Actor0008
INFO:root:Instance 9
INFO:root:Participant 1: Actor0116
INFO:root:Participant 2: Actor0091
INFO:root:Participant 3: Actor0060
INFO:root:Participant 4: Actor0082
INFO:root:Participant 5: Actor0090
INFO:root:Participant 6: Actor0073
INFO:root:Participant 7: Actor0020
INFO:root:Participant 8: Actor0069
INFO:root:Participant 9: Actor0009
INFO:root:Participant 10: Actor0130
INFO:root:Participant 11: Actor0119
INFO:root:Participant 12: Actor0071
INFO:root:Participant 13: Actor0024
INFO:root:Participant 14: Actor0055
INFO:root:Participant 15: Actor0095
INFO:root:Participant 16: Actor0008
INFO:root:Instance 9
INFO:root:Participant 1: Actor0116
INFO:root:Participant 2: Actor0091
INFO:root:Participant 3: Actor0060
INFO:root:Participant 4: Actor0082
INFO:root:Participant 5: Actor0090
INFO:root:Participant 6: Actor0073
INFO:root:Participant 7: Actor0020
INFO:root:Participant 8: Actor0069
INFO:root:Participant 9: Actor0009
INFO:root:Participant 10: Actor0130
INFO:root:Participant 11: Actor0119
INFO:root:Participant 12: Actor0071
INFO:root:Participant 13: Actor0024
INFO:root:Participant 14: Actor0055
INFO:root:Participant 15: Actor0095
INFO:root:Participant 16: Actor0008
INFO:root:Instance 9
INFO:root:Participant 1: Actor0116
INFO:root:Participant 2: Actor0091
INFO:root:Participant 3: Actor0060
INFO:root:Participant 4: Actor0082
INFO:root:Participant 5: Actor0090
INFO:root:Participant 6: Actor0073
INFO:root:Participant 7: Actor0020
INFO:root:Participant 8: Actor0069
INFO:root:Participant 9: Actor0009
INFO:root:Participant 10: Actor0130
