Name	LongName	Values	VarType	DataType	Notes
Condition 1 Satisfaction	Condition 1 Satisfaction	I would be strongly dissatisfied,I would be somewhat dissatisfied,I would be neutral,I would be somewhat satisfied,I would be strongly satisfied	dynamic	String	Q1
Condition 1 Category 1 Evacuate	Condition 1 Category 1 Evacuate	yes,no	dynamic	Boolean	Q2
Condition 1 Category 1 Stayed Home	Condition 1 Category 1 Stayed Home	yes,no	dynamic	Boolean	Q3
Condition 1 Category 1 Sheltered	Condition 1 Category 1 Sheltered	yes,no	dynamic	Boolean	Q4
Condition 1 Category 2 Evacuate	Condition 1 Category 2 Evacuate	yes,no	dynamic	Boolean	Q5
Condition 1 Category 2 Stayed Home	Condition 1 Category 2 Stayed Home	yes,no	dynamic	Boolean	Q6
Condition 1 Category 2 Sheltered	Condition 1 Category 2 Sheltered	yes,no	dynamic	Boolean	Q7
Condition 1 Category 3 Evacuate	Condition 1 Category 3 Evacuate	yes,no	dynamic	Boolean	Q8
Condition 1 Category 3 Stayed Home	Condition 1 Category 3 Stayed Home	yes,no	dynamic	Boolean	Q9
Condition 1 Category 3 Sheltered	Condition 1 Category 3 Sheltered	yes,no	dynamic	Boolean	Q10
Condition 1 Category 4 Evacuate	Condition 1 Category 4 Evacuate	yes,no	dynamic	Boolean	Q11
Condition 1 Category 4 Stayed Home	Condition 1 Category 4 Stayed Home	yes,no	dynamic	Boolean	Q12
Condition 1 Category 4 Sheltered	Condition 1 Category 4 Sheltered	yes,no	dynamic	Boolean	Q13
Condition 1 Category 5 Evacuate	Condition 1 Category 5 Evacuate	yes,no	dynamic	Boolean	Q14
Condition 1 Category 5 Stayed Home	Condition 1 Category 5 Stayed Home	yes,no	dynamic	Boolean	Q15
Condition 1 Category 5 Sheltered	Condition 1 Category 5 Sheltered	yes,no	dynamic	Boolean	Q16
