Name	LongName	Values	VarType	DataType	Notes
Participant	Participant	[1+]	fixed	Integer	
Group	Group	[0-4]	fixed	Integer	Assigned condition
Timestep	Timestep	[1+]	dynamic	Integer	
Age	Age	[0-100]	dynamic	Integer	
Children	Children	[0-10]	dynamic	Integer	
Ethnicity	Ethnicity	majority,minority	fixed	String	
Fulltime Job	Fulltime Job	yes,no	dynamic	Boolean	
Gender	Gender	female,male	fixed	String	
Pets	Pets	yes,no	dynamic	Boolean	
Religion	Religion	majority,minority,none	fixed	String	
Residence	Residence	Region[01-16]	fixed	String	
Wealth	Wealth	[1-7]	dynamic	Integer	
Location	Location	evacuated,shelter,home	dynamic	String	
Injured	Injured	yes,no	dynamic	Boolean	
Income Loss	Income Loss	yes,no	dynamic	Boolean	
Property Damage	Property Damage	[1-7]	dynamic	Integer	Degree of current level of property damage (7 being the most severe)
Dissatisfaction	Dissatisfaction	[1-7]	dynamic	Integer	
Government Aid	Government Aid	Region[01-16]	dynamic	String	
Hurricane Phase	Hurricane Phase	none,approaching,active	dynamic	String	
Hurricane Location	Hurricane Location	Region[01-16],none	dynamic	String	
Hurricane Category	Hurricane Category	[1-5],none	dynamic	String	
