Name	LongName	Values	VarType	DataType	Notes
TA2A 472 Hurricane 2 Evacuation Incentive	TA2A 472 Hurricane 2 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 2 Dissatisfaction	TA2A 472 Hurricane 2 Dissatisfaction	[0-6]	dynamic	Integer	Q2
TA2A 472 Hurricane 3 Evacuation Incentive	TA2A 472 Hurricane 3 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 3 Dissatisfaction	TA2A 472 Hurricane 3 Dissatisfaction	[0-6]	dynamic	Integer	Q2
TA2A 472 Hurricane 4 Evacuation Incentive	TA2A 472 Hurricane 4 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 4 Dissatisfaction	TA2A 472 Hurricane 4 Dissatisfaction	[0-6]	dynamic	Integer	Q2
TA2A 472 Hurricane 5 Evacuation Incentive	TA2A 472 Hurricane 5 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 5 Dissatisfaction	TA2A 472 Hurricane 5 Dissatisfaction	[0-6]	dynamic	Integer	Q2
TA2A 472 Hurricane 6 Evacuation Incentive	TA2A 472 Hurricane 6 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 6 Dissatisfaction	TA2A 472 Hurricane 6 Dissatisfaction	[0-6]	dynamic	Integer	Q2
TA2A 472 Hurricane 7 Evacuation Incentive	TA2A 472 Hurricane 7 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 7 Dissatisfaction	TA2A 472 Hurricane 7 Dissatisfaction	[0-6]	dynamic	Integer	Q2
TA2A 472 Hurricane 8 Evacuation Incentive	TA2A 472 Hurricane 8 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 8 Dissatisfaction	TA2A 472 Hurricane 8 Dissatisfaction	[0-6]	dynamic	Integer	Q2
TA2A 472 Hurricane 9 Evacuation Incentive	TA2A 472 Hurricane 9 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 9 Dissatisfaction	TA2A 472 Hurricane 9 Dissatisfaction	[0-6]	dynamic	Integer	Q2
TA2A 472 Hurricane 10 Evacuation Incentive	TA2A 472 Hurricane 10 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 10 Dissatisfaction	TA2A 472 Hurricane 10 Dissatisfaction	[0-6]	dynamic	Integer	Q2
TA2A 472 Hurricane 11 Evacuation Incentive	TA2A 472 Hurricane 11 Evacuation Incentive	[0-6]	dynamic	Integer	Q1
TA2A 472 Hurricane 11 Dissatisfaction	TA2A 472 Hurricane 11 Dissatisfaction	[0-6]	dynamic	Integer	Q2
