Name	LongName	Values	VarType	DataType	Notes
Gender	Gender	female,male	fixed	String	
Children	Children	[0-10]	dynamic	Integer	
Religion	Religion	majority,minority,none	fixed	String	
Ethnicity	Ethnicity	majority,minority	fixed	String	
TA2A 652 Aid Willingness Employed	TA2A 652 Aid Willingness Employed	[0-7]	dynamic	Integer	Q5
TA2A 652 Aid Willingness Unemployed	TA2A 652 Aid Willingness Unemployed	[0-7]	dynamic	Integer	Q6
TA2A 652 Aid Willingness Pets	TA2A 652 Aid Willingness Pets	[0-7]	dynamic	Integer	Q7
TA2A 652 Aid Willingness No Pets	TA2A 652 Aid Willingness No Pets	[0-7]	dynamic	Integer	Q8
TA2A 652 Aid Willingness Wealth 0	TA2A 652 Aid Willingness Wealth 0	[0-7]	dynamic	Integer	Q9
TA2A 652 Aid Willingness Wealth 1	TA2A 652 Aid Willingness Wealth 1	[0-7]	dynamic	Integer	Q10
