Instance	Question	Metric	Actual	A	A Delta	B	B Delta	Null
9	Constrained	Casualties	52	52	0.0	49	0.057692307692307696	46
9	Constrained	Dissatisfaction	0.8077800369161798	0.8059892706791356	0.0022168983574795097	0.8083314940982055	-0.0006826823600777749	0.8130623891448332
9	Unconstrained	Casualties	52	48	0.07692307692307693	44	0.15384615384615385	46
9	Unconstrained	Dissatisfaction	0.8077800369161798	0.8059892706791356	0.0022168983574795097	0.807565626782913	0.0002654313346061172	0.8130623891448332
9	Individual	Casualties	0.4067184640001107	0.4067184640001107	0.0	0.4067184640001107	0.0	0.6405224277606487
10	Constrained	Casualties	70	67	0.04285714285714286	69	0.014285714285714285	62
10	Constrained	Dissatisfaction	0.9051572192031477	0.9001547526101685	0.005526627293966798	0.9005013412407393	0.005143722950701529	0.9105906624203236
10	Unconstrained	Casualties	70	67	0.04285714285714286	64	0.08571428571428572	62
10	Unconstrained	Dissatisfaction	0.9051572192031477	0.9001547526101685	0.005526627293966798	0.9005294846441505	0.005112630668814909	0.9105906624203236
10	Individual	Casualties	0.4000920813769473	0.025380960353555637	0.9365622027154221	0.025380960353555637	0.9365622027154221	0.04230160058925936
11	Constrained	Casualties	69	67	0.028985507246376812	69	0.0	69
11	Constrained	Dissatisfaction	0.908278517013548	0.9065695915690599	0.0018814993556239695	0.913577478718034	-0.00583407138364247	0.9201089997693707
11	Unconstrained	Casualties	69	67	0.028985507246376812	68	0.014492753623188406	69
11	Unconstrained	Dissatisfaction	0.908278517013548	0.9065695915690599	0.0018814993556239695	0.9080709157657028	0.0002285656260238834	0.9201089997693707
11	Individual	Casualties	0.9472562093584843	0.7840008298000842	0.17234553645096973	0.40817054389824614	0.5691022768014645	0.8391911169750905
12	Offseason	Casualties	97	95	0.020618556701030927	97	0.0	95
12	Offseason	Dissatisfaction	0.9577171735402598	0.9542095645759054	0.003662468483663318			0.994637308630266
12	InSeason	Casualties	97	95	0.020618556701030927	95	0.020618556701030927	95
12	InSeason	Dissatisfaction	0.9577171735402598	0.9519327128106616	0.0060398423348884305	0.94375	0.014583818611740327	0.994637308630266
12	Individual	Casualties	0.9728790653630055	0.8033920004536514	0.17421185319278526	0.40000000000000013	0.5888492061952735	0.40000000000000013
13	Offseason	Casualties	87	85	0.022988505747126436	86	0.011494252873563218	82
13	Offseason	Dissatisfaction	0.9312502082734507	0.928575705522151	0.002871948620831268			0.9932107024555714
13	InSeason	Casualties	87	86	0.011494252873563218	86	0.011494252873563218	82
13	InSeason	Dissatisfaction	0.9312502082734507	0.9296775984369662	0.001688708171566682	0.95	-0.020134000035620468	0.9932107024555714
13	Individual	Casualties	0.9836985058288817	0.6160000000000001	0.37379187184904017	0.52	0.47138274896347554	0.877067353866595
14	Offseason	Casualties	72	74	-0.027777777777777776	68	0.05555555555555555	66
14	Offseason	Dissatisfaction	0.9408716002507539	0.9382872986958992	0.0027467101293799545			0.9948045509400882
14	InSeason	Casualties	72	75	-0.041666666666666664	69	0.041666666666666664	66
14	InSeason	Dissatisfaction	0.9408716002507539	0.9403890741110746	0.0005128501482568419	0.94375	-0.0030592907135032626	0.9948045509400882
14	Individual	Casualties	1.0	0.9851750238896299	0.014824976110370147	0.40000000000000013	0.5999999999999999	1.0
