Edge ID	Source	Target	Frequency	Description	Module	Line	Notes
1	Actor friendOf Actor	ActorBeliefOfNature's category	often	Actors share their beliefs about the hurricane's category with their friends on a daily basis, and their beliefs are influence by the incoming messages	execute,actor		
2	Actor-decreaseRisk-Region	Actor's risk	often	Performing prosocial behavior exposes the actor to additional risk	actor		
3	Actor-decreaseRisk-Region	Region's risk	often	Performing prosocial behavior reduces the risk in the target region	actor		
4	Actor-evacuate	Actor's employed	sometimes	If an actor evacuates, it might lose its job	actor		
5	Actor-evacuate	Actor's location	often	Evacuating changes the actors' location to "evacuated"	actor		
6	Actor-evacuate	Actor's resources	often	Evacuating costs resources	actor		
7	Actor-moveHome	Actor's location	often	If an actor moves to a region, his/her location becomes that region	actor		
8	Actor-moveHome	Actor's resources	often	If an actor moves back home, s/he can still go to work and earn money	actor		
9	Actor-moveTo-shelter	Actor's location	often	Moving to a shelter changes the actors' location to that shelter	actor		
10	Actor-moveTo-shelter	Actor's pet	sometimes	If an actor goes to a shelter that does not allow pets, his/her pet will die	actor		
11	Actor-moveTo-shelter	Actor's resources	sometimes	Going to a shelter can prevent an actor from going to work and earning resources	actor		
12	Actor-stayInLocation	Actor's resources	often	If an actor stays at home, s/he can still go to work and earn money	actor		
13	Actor-takeResources-Region	Actor's resources	often	Performing antisocial behavior increases the actor's resources	actor		
14	Actor-takeResources-Region	Actor's risk	often	Performing antisocial behavior exposes the actor to additional risk	actor		
15	Actor's childrenHealth	Actor's Expected Reward	often	Actors with children are incentivized to avoid decreases to their children's health levels	actor		
16	Actor's employed	Actor's resources	sometimes	Actors who are employed experience an increase in resources on every day where they go to work (e.g., as opposed to staying in a shelter)	actor		This dependency is always present in those actors for which "employed" is True; for some instances, unemployed actors see a decrease in resources over time, while in others, they see no change.
17	Actor's Expected Reward	Actor-decreaseRisk-Region	often	Action choice determined by the expected reward calculation	actor		
18	Actor's Expected Reward	Actor-evacuate	often	Action choice determined by the expected reward calculation	actor		
19	Actor's Expected Reward	Actor-moveHome	often	Action choice determined by the expected reward calculation	actor		
20	Actor's Expected Reward	Actor-moveTo-shelter	often	Action choice determined by the expected reward calculation	actor		
21	Actor's Expected Reward	Actor-stayInLocation	often	Action choice determined by the expected reward calculation	actor		
22	Actor's Expected Reward	Actor-takeResources-Region	often	Action choice determined by the expected reward calculation	actor		
23	Actor's health	Actor's Expected Reward	often	Actors are incentivized to avoid decreases to their own health levels	actor		
24	Actor's home	Actor's grievance	often	If the System's aid goes (does not go) to the Actor's region, his/her grievance will decrease (increase)	system		
25	Actor's horizon	Actor's Expected Reward	often	How far into the future an Actor looks when deciding what to do	actor		Horizon values were heterogeneous both across instances and across the population of a given instance, and they did strongly influence behavior
26	Actor's location	Actor's resources	often	An actor's resource gain/loss depends on the location in terms of whether s/he can go to work	actor		
27	Actor's location	Actor's risk	often	If an actor's location is evacuated, then his/her personal risk decreases; otherwise, it moves closer to the risk in his/her current location	actor		
28	Actor's perceivedCategory	ActorBeliefOfNature's category	often	The information received influences the actors' subsequent belief	actor		
29	Actor's pet	Actor's Expected Reward	often	Actors are incentivized to avoid having a pet die	actor		
30	Actor's Priority of childrenHealth	Actor's Expected Reward	often	This priority moderates the dependency between Actor's childrenHealth and its Expected Reward	actor		
31	Actor's Priority of health	Actor's Expected Reward	often	This priority moderates the dependency between Actor's health and its Expected Reward	actor		
32	Actor's priority of neighbors	Actor's Expected Reward	often	This priority moderates the dependency between Region's risk and its Expected Reward	actor		
33	Actor's priority of pets	Actor's Expected Reward	often	This priority moderates the dependency between Actor's pets and its Expected Reward	actor		
34	Actor's priority of resources	Actor's Expected Reward	often	This priority moderates the dependency between Actor's resources and its Expected Reward	actor		
35	Actor's resources	Actor's Expected Reward	often	Actors are incentivized to increase their resources	actor		
36	Actor's risk	Actor's childrenHealth	often	Higher levels of personal risk lead to higher likelihoods and higher severity of health loss for their children	actor		
37	Actor's risk	Actor's health	often	Higher levels of personal risk lead to higher likelihoods and higher severity of health loss for themselves	actor		
38	ActorBeliefOfNature's category	ActorBeliefOfRegion's risk	often	The higher the category of the current hurricane, the higher the increase in risk	nature		
39	ActorBeliefOfNature's category	ActorBeliefOfRegion's shelterRisk	often	The higher the category of the current hurricane, the higher the increase in risk at the shelters	nature		
40	ActorBeliefOfRegion's risk	Actor's Expected Reward	often	Altruistic actors derive reward from the risk level of their home region	actor		
41	ActorBeliefOfRegion's risk	ActorBeliefOfActor's risk	often	For actor's staying at home, a higher risk level in their region of residence leads to a higher level of personal risk	actor		All actors had the same accurate beliefs about this dependency, but could differ in their beliefs about the category (source node) and consequently the risk of their home region (target node)
