Section	Option	24	30	31	32	33	34	35	36	37	61	62	63	64	65	66	67	68	69
Actors	age_max	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
Actors	age_min	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
Actors	altruism_friends_majority	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	altruism_friends_minority	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	altruism_friends_none	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	altruism_neighbors_majority	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	altruism_neighbors_minority	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	altruism_neighbors_none	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	antiresources	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Actors	antiresources_benefit	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	antiresources_cost_risk	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Actors	antirisk	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Actors	antirisk_benefit	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	antirisk_cost_risk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	appraisal	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Actors	atheists	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	attachment	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
Actors	attachment_anxious	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	attachment_r	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	attachment_secure	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	attachment_threshold	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	beliefs	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Actors	category_distortion	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
Actors	category_over	1	1	1	0	5	1	1	1	1	1	1	1	1	1	1	0	1	1
Actors	category_under	3	3	3	5	0	3	3	3	3	3	3	3	3	3	3	0	3	3
Actors	children_max	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Actors	coping_emotion	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	coping_problem	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	ethnic_majority	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Actors	evacuation	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Actors	evacuation_cost	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2
Actors	evacuation_unemployment	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Actors	friend_opt_trust	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4
Actors	friend_pess_trust	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4
Actors	friends	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Actors	grievance	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
Actors	grievance_delta	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Actors	grievance_ethnic_majority	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	grievance_ethnic_minority	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Actors	grievance_female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actors	grievance_male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
